30
 Atoms. Timestep: 0
2 8.01157 11.6996 9.7918
2 8.95657 12.2158 9.901
2 10.1515 12.8037 9.96268
2 11.1539 13.4494 10.2737
2 12.0656 14.4417 10.618
2 13.0892 15.2629 10.8366
2 14.0055 16.1698 10.9424
3 7.84253 15.2312 15.0208
3 6.58018 15.1863 15.2923
3 21.2524 5.60787 19.259
3 14.4302 19.9783 11.2993
3 15.5775 20.2873 11.2779
3 1.31147 3.93672 16.1554
3 20.7324 3.38977 14.1555
3 22.741 14.9454 23.6627
3 4.94182 23.5673 10.8164
3 3.86683 22.9639 11.1647
30
 Atoms. Timestep: 2700
1 17.476 3.14593 16.0125
1 16.639 2.92224 16.1263
1 22.4745 22.9492 2.98599
